categoria edifici	pertinenza edificio	parte di edificio	latitudine	longitudine	media	nome	Stato
moschea	Damasco	capitello	33.51267	36.30547	https://upload.wikimedia.org/wikipedia/commons/0/07/Damasco._Propilei_della_Grande_Moschea_-_DecArch_-_2-57.jpg	Grande Moschea degli Ommayadi	Siria
teatro	Palmira	trabeazione	34.5508	38.2634	https://upload.wikimedia.org/wikipedia/commons/b/b7/Palmira._Teatro._Trab._I_Ordine_-_DecArch_-_1-125.jpg	Teatro di Palmira	Siria
chiesa	Aleppo	capitello	36.3342	36.8385	https://commons.wikimedia.org/wiki/File:Santuario_di_S._Simeone_-_DecArch_-_2-249.jpg	Santuario di S. Simeone	Siria
arco	Palmira	capitello, base, cornice	34.5513	38.2656	https://upload.wikimedia.org/wikipedia/commons/d/d8/Palmira._Arco_monumentale%2C_facciata_verso_tetrapilo_front._later_-_DecArch_-_1-83.jpg	Arco Monumentale	Siria
castrum	Palmira	capitello	34.5548	38.2556	https://upload.wikimedia.org/wikipedia/commons/b/b3/Palmira._Campo_di_Diocleziano%2C_pretorio%2C_corte_antistante_-_DecArch_-_1-209.jpg	Campo di Diocleziano	Siria
ninfeo	Palmira	capitello	34.5505	38.2687	https://upload.wikimedia.org/wikipedia/commons/5/50/Palmira._Ninfeo_-_DecArch_-_1-33.jpg	Ninfeo di Palmira	Siria
via colonnata	Apamea	capitello, architrave	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/d/de/Apamea_-_DecArch_-_2-102.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	colonna, mensola	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/6/61/Apamea_-_DecArch_-_2-103.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	capitello, colonna, architrave	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/1/1b/Apamea_-_DecArch_-_2-104.jpg	Via Colonnata di Apamea	Siria
cortile colonnato	Apamea	mensola	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/a/ac/Apamea_-_DecArch_-_2-105.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	architrave	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/7/75/Apamea_-_DecArch_-_2-107.jpg	Casa delle mensole	Siria
via colonnata	Apamea	architrave	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/a/a7/Apamea_-_DecArch_-_2-109.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	capitello	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/0/0a/Apamea_-_DecArch_-_2-110.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	capitello, architrave, colonna	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/1/1f/Apamea_-_DecArch_-_2-111.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	architrave	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/1/1b/Apamea_-_DecArch_-_2-112.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	capitello, base, cornice	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/2/26/Apamea_-_DecArch_-_2-113.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	capitello	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/7/70/Apamea_-_DecArch_-_2-114.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	capitello	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/7/7a/Apamea_-_DecArch_-_2-115.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	architrave	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/5/5d/Apamea_-_DecArch_-_2-119.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	capitello	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/5/58/Apamea_-_DecArch_-_2-121.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	capitello	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/e/e0/Apamea_-_DecArch_-_2-120.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	capitello	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/4/48/Apamea_-_DecArch_-_2-122.jpg	Via Colonnata di Apamea	Siria
via colonnata	Apamea	capitello, base, architrave	35.418	36.3926	https://upload.wikimedia.org/wikipedia/commons/6/67/Apamea_-_DecArch_-_2-157.jpg	Via Colonnata di Apamea	Siria
Ninfeo	Bosra	capitello	32.5194	36.4771	https://upload.wikimedia.org/wikipedia/commons/6/6e/Bosra._Ninfeo_-_DecArch_-_2-32.jpg	Ninfeo di Bosra	Siria
Ninfeo	Bosra	capitello, colonna, base	32.5194	36.4771	https://upload.wikimedia.org/wikipedia/commons/4/46/Bosra._Ninfeo_-_DecArch_-_2-33.jpg	Ninfeo di Bosra	Siria
via colonnata	Bosra	cornice	32.5194	36.4771	https://upload.wikimedia.org/wikipedia/commons/8/8e/Bosra._Via_colonnata_-_DecArch_-_2-26.jpg	Via Colonnata di Bosra	Siria
Teatro	Bosra	base	32.517	36.4756	https://upload.wikimedia.org/wikipedia/commons/b/bb/Bosra._Antiquarium_Teatro_-_DecArch_-_2-48.jpg	Antiquarium del Teatro di Bosra	Siria
Teatro	Bosra	architrave	32.517	36.4756	https://upload.wikimedia.org/wikipedia/commons/6/67/Bosra._Antiquarium_Teatro_-_DecArch_-_2-49.jpg	Antiquarium del Teatro di Bosra	Siria
Teatro	Bosra	architrave	32.517	36.4756	https://upload.wikimedia.org/wikipedia/commons/3/3e/Bosra._Antiquarium_Teatro_-_DecArch_-_2-50.jpg	Antiquarium del Teatro di Bosra	Siria
via colonnata	Bosra	capitello	32.5194	36.4771	https://upload.wikimedia.org/wikipedia/commons/5/53/Bosra._Via_colonnata_-_DecArch_-_2-27.jpg	Via Colonnata di Bosra	Siria
via colonnata	Bosra	capitello	32.5194	36.4771	https://upload.wikimedia.org/wikipedia/commons/3/3f/Bosra._Via_colonnata_-_DecArch_-_2-28.jpg	Via Colonnata di Bosra	Siria
via colonnata	Bosra	capitello, base	32.5194	36.4771	https://upload.wikimedia.org/wikipedia/commons/2/2d/Bosra._Via_colonnata_-_DecArch_-_2-31.jpg	Via Colonnata di Bosra	Siria
via colonnata	Bosra	capitello, colonna	32.5194	36.4771	https://upload.wikimedia.org/wikipedia/commons/6/60/Bosra._Via_colonnata_-_DecArch_-_2-37.jpg	Via Colonnata di Bosra	Siria
via colonnata	Bosra	cornice, architrave	32.5194	36.4771	https://upload.wikimedia.org/wikipedia/commons/b/be/Bosra._Via_colonnata_-_DecArch_-_2-36.jpg	Via Colonnata di Bosra (porta)	Siria
porta	Damasco	capitello	33.5094	36.3124	https://upload.wikimedia.org/wikipedia/commons/c/c3/Damasco._Bab_Sharki_%28porta%29_-_DecArch_-_2-187.jpg	Bab Sharqi	Siria
moschea	Damasco	architrave	33.51267	36.30547	https://upload.wikimedia.org/wikipedia/commons/8/81/Damasco._Grande_Moscea_-_DecArch_-_2-67.jpg	Grande Moschea degli Ommayadi	Siria
moschea	Damasco	architrave	33.51267	36.30547	https://upload.wikimedia.org/wikipedia/commons/a/aa/Damasco._Grande_Moscea_-_DecArch_-_2-68.jpg	Grande Moschea degli Ommayadi	Siria
tempio	Damasco	cornice	33.51267	36.30547	https://upload.wikimedia.org/wikipedia/commons/d/d2/Damasco._Temenos_T._di_Zeus_%28forse%29_V._N._28_-_DecArch_-_2-195.jpg	Tempio di Zeus	Siria
